"Matchcode";"Item number";"Product group";"Manufacturer";"English Name";"German Name";"Name of country of origin";"Weight";"Unit ";"Kind of packaging";"pcs. Per carton";"Price class per piece Price 1";"Price class per piece Price 2";"Price class per piece Price 3";"Vat"
5032619900421;1001;"01-AFP CHIPS+SNACKS";"Royalty";"Malted Milk Biscuit 200g (Royalty)";"Kekse mit Gerstenmalzextrakt";;0,2;"g";"Packung";20;20;40;50;7
01002;1002;"01-AFP CHIPS+SNACKS";;"Butter Biscuits MCV Shortbread 200g";"Mürbeteiggebäck mit Butter";;0,2;"g";"Packung";12;0;0;0;7
5032619900148;1003;"01-AFP CHIPS+SNACKS";"Royalty";"Shortbread Butter Biscuits 200g (Royalty)";"Mürbeteiggebäck mit Butter";;0,2;"g";"Packung";24;24;48;50;7
5032619900025;1005;"01-AFP CHIPS+SNACKS";"Royalty";"Cream Cracker Biscuits 300g (Royalty)";"Kekse mit Creme gefüllt";;0,3;"g";"Packung";18;1;10;50;7
5032619900001;1007;"01-AFP CHIPS+SNACKS";"Royalty";"Digestives Biscuits 400g (Royalty)";"Kekse zur Verdauung";;0,4;"g";"Packung";20;20;40;50;7
5032619900186;1009;"01-AFP CHIPS+SNACKS";"Royalty";"Ginger Nuts Biscuits 300g (Royalty) ";"Kekse aus Ingwer Nüsse";;0,3;"g";"Packung";20;20;40;50;7
750515018501;1016;"01-AFP CHIPS+SNACKS";"Sky Flakes";"Crackers 250g (Sky Flakes)";"Weizen Cracker";;0,25;"g";"Packung";20;0;0;0;7
750515018105;1017;"01-AFP CHIPS+SNACKS";"Sky Flakes";"Crackers 850g (Sky Flakes)";"Weizen Cracker";;0,85;"g";"DOSE";8;0;0;0;7
816387000140;1019;"01-AFP CHIPS+SNACKS";"TG";"Plantain Chips Sweet 85g (TG)";"Bananen Chips, gesüßt";;0,85;"g";"Beutel";20;0;0;0;7
816387000058;1020;"01-AFP CHIPS+SNACKS";"TG";"Plantain Chips Salted 85g (TG)";"Bananen Chips, gesalzen";;0,85;"g";"Beutel";20;0;0;0;7
816387000447;1021;"01-AFP CHIPS+SNACKS";"TG";"Plantain Chips Garlic 85g (TG)";"Bananen Chips mit Knoblauch";;0,85;"g";"Beutel";20;0;0;0;7
816387000065;1022;"01-AFP CHIPS+SNACKS";"TG";"Plantain Chips Spicy 85g (TG) ";"Bananen Chips, scharf gewürzt";;1,7;"g";"Beutel";20;0;0;0;7
01014;1024;"01-AFP CHIPS+SNACKS";"TG";"Plantain Chips Extra Sweet 85g (TG)";"Bananen Chips, sehr gesüßt";;0,85;"g";"Beutel";20;0;0;0;7
5032619900063;1025;"01-AFP CHIPS+SNACKS";"Royalty";"Oaties Biscuits 300g (Royalty)";"Haferkekse";;0,3;"g";"Packung";18;18;36;50;7
5032619900100;1026;"01-AFP CHIPS+SNACKS";"Aheco";"Rich Tea Biscuits 300g (Royalty) ";"Keksrollen";;0,3;"g";"Packung";20;20;40;50;7
72790000119;2002;"02-AFP Cosmetics";;"Magic Shaving Powder (Gold) 127 g/4,5oz";"Rasierpuder";;0,142;"g";"DOSE";;0;0;0;19
697896828292;2003;"02-AFP Cosmetics";;"Rubee Hand & Body Lotion 453ml/16oz";"Hand- und Körperlotion";;0,453;"ml";"Flasche";;0;0;0;19
